"player" "position" "appearance" "goals" "year" "team"
"Abdulla Al Haza'a" "Defender" 5 0 "2016" "bahrain"
"Rashed Al Hooti" "Defender" 5 0 "2016" "bahrain"
"Sami Al Husaini" "Forward" 4 2 "2016" "bahrain"
"Abdulwahab Al Malood" "Midfielder" 5 0 "2016" "bahrain"
"Mohamed Al Romaihi" "Forward" 0 2 "2016" "bahrain"
"Abdulwahab Al Safi" "Midfielder" 3 1 "2016" "bahrain"
"Hussain Ali Baba" "Defender" 7 0 "2016" "bahrain"
"Sayed Dhiya Saeed" "Midfielder" 6 0 "2016" "bahrain"
"Sayed Hashem" "Forward" 0 4 "2016" "bahrain"
"Abdulla Yusuf Helal" "Forward" 3 1 "2016" "bahrain"
"Mohamed Husain" "Defender" 2 0 "2016" "bahrain"
"Sayed Jaffar" "Goalkeeper" 6 0 "2016" "bahrain"
"Hassan Jameel" "Midfielder" 1 0 "2016" "bahrain"
"Abbas Ahmed Khamis" "Goalkeeper" 1 0 "2016" "bahrain"
"Isa Moosa" "Forward" 1 0 "2016" "bahrain"
"Hesham Nayem" "Midfielder" 2 0 "2016" "bahrain"
"Abdullah Omar Ismail" "Midfielder" 5 0 "2016" "bahrain"
"Dawood Saad" "Defender" 1 0 "2016" "bahrain"
"Abdulla Shallal" "Defender" 1 0 "2016" "bahrain"
"Mohammed Tayeb" "Forward" 0 2 "2016" "bahrain"
"Toby Alderweireld" "Defender" 13 0 "2016" "belgium"
"Zakaria Bakkali" "Forward" 0 1 "2016" "belgium"
"Michy Batshuayi" "Forward" 1 5 "2016" "belgium"
"Christian Benteke" "Forward" 1 4 "2016" "belgium"
"Dedryck Boyata" "Defender" 0 1 "2016" "belgium"
"Yannick Carrasco" "Midfielder" 4 2 "2016" "belgium"
"Luis Pedro Cavanda" "Defender" 1 1 "2016" "belgium"
"Nacer Chadli" "Midfielder" 1 1 "2016" "belgium"
"Laurent Ciman" "Defender" 1 2 "2016" "belgium"
"Thibaut Courtois" "Goalkeeper" 11 0 "2016" "belgium"
"Kevin De Bruyne" "Midfielder/Forward" 13 0 "2016" "belgium"
"Moussa Dembele" "Midfielder" 2 2 "2016" "belgium"
"Jason Denayer" "Defender" 4 1 "2016" "belgium"
"Laurent Depoitre" "Forward" 1 0 "2016" "belgium"
"Marouane Fellaini" "Midfielder" 7 3 "2016" "belgium"
"Guillaume Gillett" "Defender" 1 0 "2016" "belgium"
"Eden Hazard" "Midfielder" 12 0 "2016" "belgium"
"Thorgan Hazard" "Forward" 1 0 "2016" "belgium"
"Vincent Kompany" "Defender/Centre back" 3 0 "2016" "belgium"
"Nicolas Lombaerts" "Defender" 3 0 "2016" "belgium"
"Jordan Lukaku" "Midfielder" 3 2 "2016" "belgium"
"Romelu Lukaku" "Forward" 11 1 "2016" "belgium"
"Dries Mertens" "Forward" 6 7 "2016" "belgium"
"Thomas Meunier" "Forward" 5 1 "2016" "belgium"
"Simon Mignolet" "Goalkeeper" 3 0 "2016" "belgium"
"Kevin Mirallas" "Midfielder/Forward" 0 1 "2016" "belgium"
"Radja Nainggolan" "Midfielder" 11 1 "2016" "belgium"
