teamA,teamB,matchDate,matchVenue
Sweden,Belgium,22 June 2016,"Allianz Riviera, Nice"
Northern Ireland,Germany,21 June 2016,"Parc Des Princes, Paris"
USA,Argentina,21 June 2016,NRG Stadium
Hungary,Ivory Coast,20 May 2016,"Groupama Arena, Budapest"
Slovakia,England,20 June 2016,"Stade Geoffroy-Guichard, Saint-Etienne"
Switzerland,France,19 June 2016,"Stade Pierre-Mauroy, Lille"
Iceland,Hungary,18 June 2016,"Stade Velodrome, Marseille"
Belgium,Republic of Ireland,18 June 2016,"Stade Matmut Atlantique, Bordeaux"
Portugal,Austria,18 June 2016,"Parc Des Princes, Paris"
Argentina,Venezuela,18 June 2016,"Gillette Stadium, Foxborough"
Italy,Sweden,17 June 2016,"Stade Le Municipal, Toulouse"
Peru,Colombia,17 June 2016,MetLife Stadium
Spain,Turkey,17 June 2016,"Allianz Riviera, Nice"
Panama,El Salvador,17 February 2016,CUIDAD DE PANAMA
Ukraine,Northern Ireland,16 June 2016,"Stade des Lumieres, Lyon"
England,Wales,16 June 2016,Stade Bollaert-Delelis
USA,Ecuador,16 June 2016,"CenturyLink Field, Seattle"
Romania,Switzerland,15 June 2016,"Parc Des Princes, Paris"
Austria,Hungary,14 June 2016,"Stade Matmut Atlantique, Bordeaux"
Portugal,Iceland,14 June 2016,"Stade Geoffroy-Guichard, Saint-Etienne"
Bolivia,Argentina,14 June 2016,"CenturyLink Field, Seattle"
Belgium,Italy,13 June 2016,"Stade des Lumieres, Lyon"
Republic of Ireland,Sweden,13 June 2016,Stade De France
Venezuela,Mexico,13 June 2016,NRG Stadium
Jamaica,Uruguay,13 June 2016,Levi's Stadium
Panama,Mexico,12 October 2016,Toyota Park
Germany,Ukraine,12 June 2016,"Stade Pierre-Mauroy, Lille"
Haiti,Ecuador,12 June 2016,MetLife Stadium
Peru,Brazil,12 June 2016,"Gillette Stadium, Foxborough"
Oman,Bahrain,11 October 2016,Sultan Qaboos Sports Complex
USA,New Zealand,11 October 2016,"RFK Stadium, Washington DC"
South Africa,Ghana,11 October 2016,"Moses Mabhida Stadium, Durban"
Colombia,Uruguay,11 October 2016,"Metropolitano Roberto Melendez, Barranquilla"
Venezuela,Brazil,11 October 2016,MERIDA
Germany,Northern Ireland,11 October 2016,HANNOVER
Australia,Japan,11 October 2016,Etihad Stadium
Argentina,Paraguay,11 October 2016,Estadio Mario Alberto Kempes
Bolivia,Ecuador,11 October 2016,"Estadio Hernando Siles, La Paz"
Uzbekistan,China PR,11 October 2016,"Bunyodkor Stadium, Tashkent"
Iran,Korea Republic,11 October 2016,"Azadi Stadium, Tehran"
Slovakia,Scotland,11 October 2016,"Antona Malatinskeho, Trnava"
Wales,Slovakia,11 June 2016,"Stade Matmut Atlantique, Bordeaux"
Costa Rica,Colombia,11 June 2016,NRG Stadium
Paraguay,USA,11 June 2016,Lincoln Financial Field
Estonia,Greece,10 October 2016,TALLINN
Sweden,Bulgaria,10 October 2016,Friends Arena
Netherlands,France,10 October 2016,"Amsterdam ArenA, Amsterdam"
France,Romania,10 June 2016,Stade De France
Argentina,Panama,10 June 2016,"Soldier Field, Chicago"
Portugal,France,10 July 2016,Stade De France
Guatemala,Honduras,10 February 2016,Estadio Nacional Mateo Flores
Algeria,Cameroon,09 October 2016,"Stade Mustapha Tchaker, Algiers"
Iceland,Turkey,09 October 2016,"Laugardalsvollur, Reykjavik"
Serbia,Austria,09 October 2016,Belgrade
Mexico,Jamaica,09 June 2016,"Rose Bowl, Los Angeles"
Uruguay,Venezuela,09 June 2016,Lincoln Financial Field
Armenia,Romania,08 October 2016,"Vazgen Sargsyan, Yerevan"
Mexico,New Zealand,08 October 2016,"Nissan Stadium, Yokohama"
Scotland,Lithuania,08 October 2016,"Hampden Park, Glasgow"
Ecuador,Peru,08 June 2016,"University of Phoenix Stadium, Glendale"
Portugal,Estonia,08 June 2016,"Estadio da Luz, Lisbon"
Brazil,Haiti,08 June 2016,"Citrus Bowl, Orlando"
Jamaica,Haiti,07 September 2016,"Independence Park, Kingston"
USA,Trinidad and Tobago,07 September 2016,EverBank Field
Costa Rica,Panama,07 September 2016,Estadio Nacional de Costa Rica
Canada,El Salvador,07 September 2016,"BC Place Stadium, Vancouver"
Mexico,Honduras,07 September 2016,"Azteca Stadium, Mexico City"
France,Bulgaria,07 October 2016,Stade De France
Belgium,Bosnia and Herzegovina,07 October 2016,"King Baudouin Stadium, Brussels"
Hungary,Switzerland,07 October 2016,"Groupama Arena, Budapest"
Cuba,USA,07 October 2016,"Estadio Pedro Marrero, La Habana"
Peru,Argentina,07 October 2016,Estadio Nacional de Lima
Paraguay,Colombia,07 October 2016,"Estadio Defensores del Chaco, Asuncion"
Uruguay,Venezuela,07 October 2016,"Estadio Centenario, Montevideo"
Brazil,Bolivia,07 October 2016,Arena das Dunas
USA,Costa Rica,07 June 2016,"Soldier Field, Chicago"
Colombia,Paraguay,07 June 2016,"Rose Bowl, Los Angeles"
Australia,Greece,07 June 2016,ANZ Stadium
Germany,France,07 July 2016,"Stade Velodrome, Marseille"
Switzerland,Portugal,06 September 2016,"St Jakob Park, Basel"
China PR,Iran,06 September 2016,SHENYANG
