teamA,teamB,matchDate,matchVenue
China PR,Iraq,30 July 2004,Beijing
Netherlands,Belgium,29 May 2004,"Philips Stadium, Eindhoven"
Australia,New Zealand,29 May 2004,"Hindmarsh Stadium, Adelaide"
Algeria,Egypt,29 January 2004,Sousse
Korea Republic,Paraguay,29 April 2004,Munhak Stadium INCHEON
Honduras,Ecuador,29 April 2004,Lockhart Stadium FORT LAUDERDALE
USA,Mexico,29 April 2004,Cotton Bowl
Jamaica,Haiti,28 November 2004,KINGSTON
Finland,Sweden,28 May 2004,TAMPERE
Honduras,Panama,28 July 2004,TEGUCIGALPA
Japan,Iran,28 July 2004,CHONGQING
El Salvador,Panama,28 January 2004,SAN SALVADOR
Morocco,Argentina,28 April 2004,"Stade Mohammed-V, Casablanca"
Algeria,China PR,28 April 2004,"Stade Gabriel Montpied, Clermont-Ferrand"
Bulgaria,Cameroon,28 April 2004,Sofia
El Salvador,Colombia,28 April 2004,"Robert F Kennedy, Washington DC"
Romania,Germany,28 April 2004,Rapid BUCURESTI
Jamaica,Venezuela,28 April 2004,"National Stadium, Kingston"
Italy,Spain,28 April 2004,"Luigi Ferraris, Genoa"
Ukraine,Slovakia,28 April 2004,KYIV
Belgium,Turkey,28 April 2004,"King Baudouin Stadium, Brussels"
Denmark,Scotland,28 April 2004,"Idraetsparken, Copenhagen"
Hungary,Brazil,28 April 2004,"Ferenc Puskás Stadium, Budapest"
Netherlands,Greece,28 April 2004,EINDHOVEN
Portugal,Sweden,28 April 2004,COIMBRA
Bosnia and Herzegovina,Finland,28 April 2004,"Bilino Polje, Zenica"
Mexico,Ecuador,27 October 2004,EAST RUTHERFORD
Republic of Ireland,Romania,27 May 2004,"Lansdowne Road, Dublin"
Estonia,Scotland,27 May 2004,"A. Le Coq Arena, Tallinn"
Argentina,Colombia,27 June 2004,"Orange Bowl, Miami"
Sweden,Netherlands,26 June 2004,"Estadio Algarve, Faro"
Saudi Arabia,Iraq,26 July 2004,CHENGDU
France,Greece,25 June 2004,"Estadio Josa Alvalade XXI, Lisbon"
Argentina,Brazil,25 July 2004,"Nacional, Lima"
Algeria,Cameroon,25 January 2004,Sousse
Hong Kong,Sweden,25 January 2004,HONG KONG
Hungary,Japan,25 April 2004,BUDAPEST
Australia,Turkey,24 May 2004,MELBOURNE
Portugal,England,24 June 2004,"Estadio da Luz, Lisbon"
Panama,Guatemala,24 July 2004,PANAMA CITY
Colombia,Uruguay,24 July 2004,Estadio Garcilaso de la Vega CUSCO
Oman,Iran,24 July 2004,CHONGQING
Trinidad and Tobago,Iraq,23 May 2004,The Hawthorns
Denmark,Sweden,22 June 2004,"Estadio do Bessa Saculo XXI, Porto"
Italy,Bulgaria,22 June 2004,"Estadio D. Afonso Henriques, Guimaraes"
Uzbekistan,Saudi Arabia,22 July 2004,CHENGDU
Hong Kong,Honduras,22 January 2004,Hong Kong Stadium
Australia,Turkey,21 May 2004,Aussie Stadium
Switzerland,France,21 June 2004,Estadio Municipal de Coimbra
Brazil,Uruguay,21 July 2004,"Nacional, Lima"
Romania,Hungary,21 February 2004,NICOSIA
Venezuela,Guatemala,21 December 2004,Brigido Iriarte
France,Brazil,20 May 2004,"Saint Denis, Paris"
Jamaica,Haiti,20 June 2004,"National Stadium, Kingston"
Ghana,South Africa,20 June 2004,Kumasi Baba Yara Stadium
Portugal,Spain,20 June 2004,"Estadio Josa Alvalade XXI, Lisbon"
Egypt,Ivory Coast,20 June 2004,Alexandria
Costa Rica,Cuba,20 June 2004,Alejandro Morera Soto
Argentina,Colombia,20 July 2004,"Nacional, Lima"
Japan,Oman,20 July 2004,CHONGQING
Egypt,Bulgaria,19 November 2004,CAIRO
Korea Republic,Germany,19 December 2004,BUSAN
Cuba,Panama,18 March 2004,HAVANA
Bulgaria,Denmark,18 June 2004,Estadio Municipal de Braga
Italy,Sweden,18 June 2004,"Estadio do Dragao, Porto"
Guatemala,El Salvador,18 July 2004,LOS ANGELES
Paraguay,Uruguay,18 July 2004,Estadio Modelo TACNA
Brazil,Mexico,18 July 2004,Estadio Miguel Grau
Iraq,Uzbekistan,18 July 2004,CHENGDU
USA,Denmark,18 January 2004,Home Depot Center CARSON CITY
Honduras,Colombia,18 February 2004,TEGUCIGALPA
Japan,Oman,18 February 2004,Stadium SAITAMA
Hungary,Armenia,18 February 2004,PAPHOS
Uzbekistan,Iraq,18 February 2004,"Pakhtakor Stadium, Tashkent"
Spain,Peru,18 February 2004,"Nou Camp, Barcelona"
Wales,Scotland,18 February 2004,"Millennium Stadium, Cardiff"
Republic of Ireland,Brazil,18 February 2004,Lansdowne Road
Jamaica,Uruguay,18 February 2004,KINGSTON
Belgium,France,18 February 2004,"King Baudouin Stadium, Brussels"
Portugal,England,18 February 2004,Faro
Morocco,Switzerland,18 February 2004,"Complexe Sportif Moulay Abdallah, Rabat"
Venezuela,Australia,18 February 2004,CARACAS
Greece,Bulgaria,18 February 2004,Athens
Netherlands,USA,18 February 2004,AMSTERDAM
Turkey,Denmark,18 February 2004,Adana
Iran,Panama,18 December 2004,TEHRAN
Tunisia,South Africa,18 August 2004,TUNIS
Sweden,Netherlands,18 August 2004,STOCKHOLM
Canada,Guatemala,18 August 2004,"Stade Swangard, Burnaby"
England,Ukraine,18 August 2004,St James Park
Japan,Argentina,18 August 2004,SHIZUOKA
Iceland,Italy,18 August 2004,REYKJAVIK
France,Bosnia and Herzegovina,18 August 2004,Rennes
Haiti,Brazil,18 August 2004,PORT AU PRINCE
Jamaica,USA,18 August 2004,"National Stadium, Kingston"
Switzerland,Northern Ireland,18 August 2004,"Letzigrund, Zurich"
Spain,Venezuela,18 August 2004,LAS PALMAS
Republic of Ireland,Bulgaria,18 August 2004,"Lansdowne Road, Dublin"
Scotland,Hungary,18 August 2004,"Hampden Park, Glasgow"
Romania,Finland,18 August 2004,Giulesti BUCURESTI
El Salvador,Panama,18 August 2004,"Estadio Cuscatlán, San Salvador"
Costa Rica,Honduras,18 August 2004,Estadio Alejandro Morera Soto ALAJUELA
Austria,Germany,18 August 2004,"Ernst Happel Stadion, Wien"
Germany,Cameroon,17 November 2004,"Zentralstadion, Leipzig"
Turkey,Ukraine,17 November 2004,Sukru Saracoglu ISTANBUL
Spain,England,17 November 2004,"Santiago Bernabeu, Madrid"
Armenia,Romania,17 November 2004,Republican YEREVAN
Colombia,Bolivia,17 November 2004,"Metropolitano Roberto Melendez, Barranquilla"
Italy,Finland,17 November 2004,MESSINA
Honduras,Costa Rica,17 November 2004,"Francisco Morazan, San Pedro Sula"
Panama,El Salvador,17 November 2004,"Estadio Rommel Fernandez, Panama City"
Ecuador,Brazil,17 November 2004,"Estadio Olimpico Atahualpa, Quito"
Guatemala,Canada,17 November 2004,Estadio Nacional Mateo Flores
Uruguay,Paraguay,17 November 2004,"Estadio Centenario, Montevideo"
Scotland,Sweden,17 November 2004,Easter Road
USA,Jamaica,17 November 2004,"Columbus Crew Stadium, Colombus"
Argentina,Venezuela,17 November 2004,Club Atletico River Plate
England,Switzerland,17 June 2004,Estadio Municipal de Coimbra
Colombia,Costa Rica,17 July 2004,Estadio Mansiche TRUJILLO
Peru,Argentina,17 July 2004,Estadio Elias Aguirre
China PR,Bahrain,17 July 2004,Beijing
Iraq,Palestine,16 November 2004,Doha Stadium DOHA
Cuba,Panama,16 March 2004,HAVANA
Greece,Spain,16 June 2004,"Estadio do Bessa Saculo XXI, Porto"
Japan,Germany,16 December 2004,YOKOHAMA
Germany,Netherlands,15 June 2004,"Estadio do Dragao, Porto"
Venezuela,Ecuador,14 October 2004,"Pueblo Nuevo, San Cristobal"
Sweden,Bulgaria,14 June 2004,"Estadio Josa Alvalade XXI, Lisbon"
Denmark,Italy,14 June 2004,"Estadio D. Afonso Henriques, Guimaraes"
Brazil,Paraguay,14 July 2004,Universidad de San Agustin
Korea Republic,Oman,14 February 2004,ULSAN
Tunisia,Morocco,14 February 2004,RADES
Lithuania,Spain,13 October 2004,"Zalgiris, Vilnius"
Northern Ireland,Austria,13 October 2004,Windsor Park
Oman,Japan,13 October 2004,"Sultan Qaboos Sports Complex, Muscat"
Canada,Costa Rica,13 October 2004,"Stade Swangard, Burnaby"
USA,Panama,13 October 2004,"Robert F Kennedy, Washington DC"
Jamaica,El Salvador,13 October 2004,"National Stadium, Kingston"
Paraguay,Peru,13 October 2004,"Los Defensores Del Chaco, Asuncion"
Iceland,Sweden,13 October 2004,"Laugardalsvollur, Reykyavik"
Denmark,Turkey,13 October 2004,"Idraetsparken, Copenhagen"
Brazil,Colombia,13 October 2004,Estadio Reo Pele
Guatemala,Honduras,13 October 2004,Estadio Nacional Mateo Flores
Mexico,Trinidad and Tobago,13 October 2004,Cuauhtemoc PUEBLA
Netherlands,Finland,13 October 2004,"ArenA Amsterdam, Amsterdam"
Iraq,Uzbekistan,13 October 2004,Al Qwaismeh King Abdullah
Guatemala,Bolivia,13 November 2004,WASHINGTON DC
USA,Haiti,13 March 2004,"Orange Bowl, Miami"
France,England,13 June 2004,"Estadio da Luz, Lisbon"
Argentina,Uruguay,13 July 2004,Estadio Miguel Grau
Mexico,Ecuador,13 July 2004,Estadio Miguel Grau
Bolivia,Uruguay,12 October 2004,"Estadio Hernando Siles, La Paz"
Haiti,El Salvador,12 May 2004,Robertson Stadium HOUSTON TEXAS
Haiti,Jamaica,12 June 2004,"Orange Bowl, Miami"
Cuba,Costa Rica,12 June 2004,"Estadio Pedro Marrero, La Habana"
Portugal,Greece,12 June 2004,"Estadio do Dragao, Porto"
Venezuela,Bolivia,12 July 2004,Estadio Mansiche TRUJILLO
Peru,Colombia,12 July 2004,Estadio Mansiche TRUJILLO
Japan,Iraq,12 February 2004,TOKYO
Brazil,Costa Rica,11 July 2004,Universidad de San Agustin
Guatemala,Trinidad and Tobago,11 August 2004,GUATEMALA CITY
Mexico,Guatemala,10 November 2004,SAN ANTONIO
Mexico,Ecuador,10 March 2004,Estadio Victor Manuel Rey
Venezuela,Honduras,10 March 2004,Estadio Pachencho Romero MARACAIBO
Korea Republic,Bahrain,10 July 2004,GWANGJU
Argentina,Mexico,10 July 2004,Estadio Elias Aguirre
Uruguay,Ecuador,10 July 2004,Estadio Elias Aguirre
France,Republic of Ireland,09 October 2004,Stade De France
Costa Rica,Guatemala,09 October 2004,"Ricardo Saprissa Ayma, San Jose"
Finland,Armenia,09 October 2004,"Ratina Stadium, Tampere"
Sweden,Hungary,09 October 2004,"Rasunda, Solna"
Israel,Switzerland,09 October 2004,"Ramat Gan Stadium, Tel Aviv"
Venezuela,Brazil,09 October 2004,"Pachenricho Romero Stadium, MARACAIBO"
Ukraine,Greece,09 October 2004,"Olimpiyskyi Kyiv, Kyiv"
England,Wales,09 October 2004,Old Trafford
Colombia,Paraguay,09 October 2004,"Metropolitano Roberto Melendez, Barranquilla"
Panama,Jamaica,09 October 2004,"Estadio Rommel Fernandez, Panama City"
Honduras,Canada,09 October 2004,"Estadio Olimpico Metropolitano, San Pedro Sula"
Bolivia,Peru,09 October 2004,"Estadio Hernando Siles, La Paz"
El Salvador,USA,09 October 2004,"Estadio Cuscatlán, San Salvador"
Argentina,Uruguay,09 October 2004,Club Atletico River Plate
Spain,Belgium,09 October 2004,Campo de el Sardinero SANTANDER
Iran,Germany,09 October 2004,"Azadi Stadium, Tehran"
Uzbekistan,Palestine,09 June 2004,"Pakhtakor Stadium, Tashkent"
Colombia,Bolivia,09 July 2004,"Nacional, Lima"
Peru,Venezuela,09 July 2004,"Nacional, Lima"
Japan,Slovakia,09 July 2004,HIROSHIMA
Hungary,Iceland,08 September 2004,Ujpest BUDAPEST
Switzerland,Republic of Ireland,08 September 2004,"St Jakob Park, Basel"
Costa Rica,Canada,08 September 2004,"Ricardo Saprissa Ayma, San Jose"
Armenia,Finland,08 September 2004,Republican YEREVAN
Greece,Turkey,08 September 2004,Piraus PIRAEUS
Wales,Northern Ireland,08 September 2004,"Millennium Stadium, Cardiff"
Trinidad and Tobago,Mexico,08 September 2004,"Hasely Crawford Stadium, Port of Spain"
Panama,USA,08 September 2004,"Estadio Rommel Fernandez, Panama City"
Honduras,Guatemala,08 September 2004,"Estadio Olimpico Metropolitano, San Pedro Sula"
El Salvador,Jamaica,08 September 2004,"Estadio Cuscatlán, San Salvador"
Portugal,Estonia,08 September 2004,Dr Magalhaes Pessoa Stadion LEIRIA
Bosnia and Herzegovina,Spain,08 September 2004,"Bilino Polje, Zenica"
Palestine,Uzbekistan,08 September 2004,Al Rayyan
Costa Rica,Paraguay,08 July 2004,Universidad de San Agustin
Morocco,Algeria,08 February 2004,Sfax
Germany,Brazil,07 September 2004,BERLIN
Argentina,Ecuador,07 July 2004,Estadio Elias Aguirre
Mexico,Uruguay,07 July 2004,Estadio Elias Aguirre
United Arab Emirates,Bahrain,07 January 2004,KUWAIT
China PR,Finland,07 February 2004,SHENZHEN
China PR,Japan,07 August 2004,Beijing
Honduras,Panama,07 April 2004,Estadio Municipal Ceibeno
France,Ukraine,06 June 2004,"Saint Denis, Paris"
Colombia,Uruguay,06 June 2004,"Metropolitano Roberto Melendez, Barranquilla"
Germany,Hungary,06 June 2004,KAISERSLAUTERN
Peru,Venezuela,06 June 2004,"Estadio Nacional Jose Diaz, Lima"
Argentina,Paraguay,06 June 2004,Club Atletico River Plate
Peru,Bolivia,06 July 2004,"Nacional, Lima"
Venezuela,Colombia,06 July 2004,"Nacional, Lima"
Oman,Saudi Arabia,06 January 2004,KUWAIT
El Salvador,Guatemala,06 August 2004,WASHINGTON DC
Iran,Bahrain,06 August 2004,Beijing
Paraguay,Venezuela,05 September 2004,"Los Defensores Del Chaco, Asuncion"
Guatemala,Costa Rica,05 September 2004,Estadio Nacional Mateo Flores
Uruguay,Ecuador,05 September 2004,"Estadio Centenario, Montevideo"
Brazil,Bolivia,05 September 2004,Cicero Pompeu de Toledo
Egypt,Cameroon,05 September 2004,Arab Contractors Stadium CAIRO
Guatemala,Haiti,05 May 2004,Estadio Flores CIUDAD DE GUATEMALA
Korea Republic,Turkey,05 June 2004,TAEGU
Ecuador,Bolivia,05 June 2004,"Estadio Olimpico Atahualpa, Quito"
Portugal,Lithuania,05 June 2004,"Estadio do Bonfim, Setubal"
England,Iceland,05 June 2004,City of Manchester Stadium
Netherlands,Republic of Ireland,05 June 2004,"ArenA Amsterdam, Amsterdam"
Belgium,Lithuania,04 September 2004,"Stade du Pays de Charleroi, Charleroi"
France,Israel,04 September 2004,Stade De France
Jamaica,Panama,04 September 2004,"National Stadium, Kingston"
Peru,Argentina,04 September 2004,Monumental LIMA
Iceland,Bulgaria,04 September 2004,"Laugardalsvollur, Reykyavik"
Denmark,Ukraine,04 September 2004,"Idraetsparken, Copenhagen"
USA,El Salvador,04 September 2004,"Gillette Stadium, Foxborough"
Austria,England,04 September 2004,"Ernst Happel Stadion, Wien"
Morocco,Tunisia,04 September 2004,"Complexe Sportif Moulay Abdallah, Rabat"
Canada,Honduras,04 September 2004,"Commonwealth Stadium, Edmonton"
Cameroon,Ivory Coast,04 July 2004,"Stade Omnisports Ahmadou Ahidjo Stadium, Yaounde"
Portugal,Greece,04 July 2004,"Estadio da Luz, Lisbon"
Morocco,South Africa,04 February 2004,Sousse
Spain,Scotland,03 September 2004,Ciutat de Valencia
Oman,Bahrain,03 January 2004,KUWAIT
Cameroon,Egypt,03 February 2004,Stade Mustapha Ben Jannet
China PR,Finland,03 February 2004,GUANGZHOU
Finland,Oman,03 December 2004,"Bahrain National Stadium, East Riffa"
El Salvador,Honduras,03 August 2004,SAN SALVADOR
Bahrain,Japan,03 August 2004,JINAN
China PR,Iran,03 August 2004,Beijing
Jamaica,Guatemala,02 October 2004,FORT LAUDERDALE
Jamaica,Republic of Ireland,02 June 2004,The Valley
Switzerland,Germany,02 June 2004,"St Jakob Park, Basel"
Korea Republic,Turkey,02 June 2004,SEOUL
USA,Honduras,02 June 2004,"Foxboro, Boston"
Ecuador,Colombia,02 June 2004,"Estadio Olimpico Atahualpa, Quito"
Brazil,Argentina,02 June 2004,Estadio Magalhaes
Estonia,Hungary,02 December 2004,"Supachalasai National Stadium, Bangkok"
Guatemala,Panama,01 May 2004,GUATEMALA CITY
China PR,Hungary,01 June 2004,TIANJIN
Bolivia,Paraguay,01 June 2004,"Estadio Hernando Siles, La Paz"
Uruguay,Peru,01 June 2004,"Estadio Centenario, Montevideo"
England,Japan,01 June 2004,City of Manchester Stadium
Bahrain,Saudi Arabia,01 January 2004,KUWAIT
Bahrain,Finland,01 December 2004,"Bahrain National Stadium, East Riffa"
Japan,Korea Republic,31 May 2003,TOKYO
Haiti,Trinidad and Tobago,31 July 2003,BASSETERRE ST KITTS
Honduras,Argentina,31 January 2003,"Estadio Olimpico Metropolitano, San Pedro Sula"
Oman,United Arab Emirates,31 December 2003,KUWAIT
Haiti,China PR,31 August 2003,FORT LAUDERDALE
Bolivia,Panama,31 August 2003,"Estadio Hernando Siles, La Paz"
Cameroon,Iran,30 May 2003,"Abuja National Stadium, Abuja"
Tunisia,Cameroon,30 March 2003,"Stade 7 Novembre, Tunis"
Jamaica,Haiti,30 March 2003,"National Stadium, Kingston"
Trinidad and Tobago,Cuba,30 March 2003,MARABELLA
Uruguay,Peru,30 July 2003,"Estadio Centenario, Montevideo"
Spain,Ecuador,30 April 2003,Vicente Calderon MADRID
Switzerland,Italy,30 April 2003,"Stade de Genève, Genève"
France,Egypt,30 April 2003,Stade De France
Venezuela,Trinidad and Tobago,30 April 2003,"Pueblo Nuevo, San Cristobal"
Slovakia,Greece,30 April 2003,Pod Dubnom ZILINA
Netherlands,Portugal,30 April 2003,"Philips Stadium, Eindhoven"
Colombia,Honduras,30 April 2003,MIAMI
Peru,Paraguay,30 April 2003,LIMA
Lithuania,Romania,30 April 2003,KAUNAS
Denmark,Ukraine,30 April 2003,"Idraetsparken, Copenhagen"
Finland,Iceland,30 April 2003,HELSINKI
Scotland,Austria,30 April 2003,"Hampden Park, Glasgow"
Mexico,Brazil,30 April 2003,GUADALAJARA
Morocco,Ivory Coast,30 April 2003,"Complexe Sportif Moulay Abdallah, Rabat"
South Africa,Jamaica,30 April 2003,Cape Town
Armenia,Northern Ireland,29 March 2003,YEREVAN
Estonia,Canada,29 March 2003,TALLINN
USA,Venezuela,29 March 2003,Seahawks SEATTLE
Italy,Finland,29 March 2003,PALERMO
Portugal,Brazil,29 March 2003,OPORTO
Ukraine,Spain,29 March 2003,KYIV
Scotland,Iceland,29 March 2003,"Hampden Park, Glasgow"
Costa Rica,Paraguay,29 March 2003,Estadio Alejandro Morera Soto ALAJUELA
Korea Republic,Colombia,29 March 2003,BUSAN
Romania,Denmark,29 March 2003,Bucuresti
France,Cameroon,29 June 2003,Stade De France
Panama,Cuba,29 June 2003,"Estadio Rommel Fernandez, Panama City"
Honduras,El Salvador,29 June 2003,Estadio National SAN PEDRO SULA
Trinidad and Tobago,Finland,29 January 2003,PORT OF SPAIN
Japan,Uruguay,28 March 2003,TOKYO
Colombia,Turkey,28 June 2003,"Stade Geoffroy-Guichard, Saint-Etienne"
Korea Republic,Oman,27 September 2003,INCHEON
United Arab Emirates,Bahrain,27 September 2003,Abu Dhabi
Scotland,New Zealand,27 May 2003,"Tynecastle Park, Edinburgh"
Tunisia,Ghana,27 March 2003,"Stade 7 Novembre, Tunis"
Peru,Venezuela,27 June 2003,MIAMI
Panama,Cuba,27 June 2003,"Estadio Rommel Fernandez, Panama City"
Mexico,Brazil,27 July 2003,"Azteca Stadium, Mexico City"
Peru,Guatemala,27 August 2003,"Nacional, Lima"
USA,Wales,26 May 2003,Spartan Stadium SAN JOSE
Mexico,Paraguay,26 March 2003,SAN DIEGO CALIFORNIA
Austria,Greece,26 March 2003,GRAZ
Cameroon,Colombia,26 June 2003,"Stade De Gerland, Lyon"
France,Turkey,26 June 2003,Stade De France
USA,Costa Rica,26 July 2003,"Orange Bowl, Miami"
Ghana,Ivory Coast,26 January 2003,Accra
Trinidad and Tobago,Honduras,25 April 2003,Stade Riviere-Pilote FORT DE FRANCE
Bahrain,Iraq,24 October 2003,KUALA LUMPAR
Peru,Uruguay,24 July 2003,"Nacional, Lima"
Mexico,Costa Rica,24 July 2003,"Azteca Stadium, Mexico City"
Brazil,Turkey,23 June 2003,"Stade Geoffroy-Guichard, Saint-Etienne"
USA,Cameroon,23 June 2003,"Stade De Gerland, Lyon"
USA,Brazil,23 July 2003,"Orange Bowl, Miami"
Guatemala,Honduras,23 February 2003,"Estadio Rommel Fernandez, Panama City"
Panama,Costa Rica,23 February 2003,"Estadio Rommel Fernandez, Panama City"
Peru,Haiti,23 February 2003,Estadio Matute LIMA
Ivory Coast,Ghana,23 February 2003,Abidjan
South Africa,England,22 May 2003,Absa Stadium
France,New Zealand,22 June 2003,Stade De France
Japan,Colombia,22 June 2003,St Etienne
Honduras,Guatemala,22 June 2003,CARSON CALIFORNIA USA
Sweden,Korea DPR,22 February 2003,BANGKOK
Oman,Korea Republic,21 October 2003,MUSCAT OMAN
Brazil,USA,21 June 2003,"Stade De Gerland, Lyon"
Cameroon,Turkey,21 June 2003,St Denis Paris
Mexico,Peru,21 August 2003,EAST RUTHERFORD
Ecuador,Guatemala,21 August 2003,Ambato
Colombia,New Zealand,20 June 2003,"Stade De Gerland, Lyon"
France,Japan,20 June 2003,St Etienne
Mexico,Jamaica,20 July 2003,"Azteca Stadium, Mexico City"
El Salvador,Guatemala,20 February 2003,"Estadio Rommel Fernandez, Panama City"
Costa Rica,Honduras,20 February 2003,"Estadio Rommel Fernandez, Panama City"
Oman,Estonia,20 December 2003,MUSCAT OMAN
Switzerland,France,20 August 2003,"Stade des Charmilles, Geneva"
Bulgaria,Lithuania,20 August 2003,Sofia
Panama,Paraguay,20 August 2003,PANAMA CITY
Colombia,Slovakia,20 August 2003,New York
Venezuela,Haiti,20 August 2003,MARACAIBO
Belgium,Netherlands,20 August 2003,"King Baudouin Stadium, Brussels"
Sweden,Greece,20 August 2003,"Idrottsparken, Norrkoping"
Denmark,Finland,20 August 2003,"Idraetsparken, Copenhagen"
Germany,Italy,20 August 2003,"Gottlieb Daimler, Stuttgart"
Austria,Costa Rica,20 August 2003,"Ernst Happel Stadion, Wien"
Ukraine,Romania,20 August 2003,Donetsk KYIV
Uruguay,Argentina,20 August 2003,Artemio Franchi FLORENCE
Tunisia,South Africa,19 November 2003,TUNIS
Mexico,Iceland,19 November 2003,Packard Bell Park
Japan,Cameroon,19 November 2003,OITA
Trinidad and Tobago,Cuba,19 November 2003,"Hasely Crawford Stadium, Port of Spain"
Costa Rica,Finland,19 November 2003,Estadio Morera Soto SAN JOSE
Hungary,Estonia,19 November 2003,BUDAPEST
Hong Kong,Uzbekistan,19 November 2003,BANGKOK
Netherlands,Scotland,19 November 2003,"Amsterdam ArenA, Amsterdam"
Mexico,Bolivia,19 March 2003,DALLAS
USA,Turkey,19 June 2003,"Stade Geoffroy-Guichard, Saint-Etienne"
Brazil,Cameroon,19 June 2003,Stade De France
Colombia,Brazil,19 July 2003,"Orange Bowl, Miami"
USA,Cuba,19 July 2003,"Gillette Stadium, Foxborough"
Guatemala,El Salvador,19 January 2003,LOS ANGELES
Republic of Ireland,Australia,19 August 2003,"Lansdowne Road, Dublin"
Korea Republic,Bulgaria,18 November 2003,SEOUL
Brazil,Uruguay,18 November 2003,Pinheirao
Venezuela,Bolivia,18 November 2003,"Pachenricho Romero Stadium, MARACAIBO"
Colombia,Argentina,18 November 2003,"Metropolitano Roberto Melendez, Barranquilla"
Republic of Ireland,Canada,18 November 2003,"Lansdowne Road, Dublin"
Ecuador,Peru,18 November 2003,"Estadio Olimpico Atahualpa, Quito"
Egypt,Sweden,18 November 2003,CAIRO
France,Colombia,18 June 2003,"Stade De Gerland, Lyon"
New Zealand,Japan,18 June 2003,Stade De France
USA,Canada,18 January 2003,Lockhart Stadium FORT LAUDERDALE
Panama,Honduras,18 February 2003,"Estadio Rommel Fernandez, Panama City"
Sweden,Korea DPR,18 February 2003,BANGKOK
Egypt,Iraq,18 December 2003,MANAMA BAHRAIN
Colombia,Guatemala,17 July 2003,"Orange Bowl, Miami"
Mexico,Honduras,17 July 2003,"Azteca Stadium, Mexico City"
Guatemala,El Salvador,17 January 2003,Santa Ana Bowl
Saudi Arabia,Estonia,17 December 2003,DAMMAN
Honduras,Finland,16 November 2003,Robertson Stadium HOUSTON TEXAS
England,Denmark,16 November 2003,Old Trafford
Jamaica,El Salvador,16 November 2003,"National Stadium, Kingston"
Peru,Brazil,16 November 2003,Monumental LIMA
Italy,Romania,16 November 2003,ANCONA
Argentina,Uruguay,16 July 2003,La Plata BUENOS AIRES
Cuba,Costa Rica,16 July 2003,"Gillette Stadium, Foxborough"
China PR,Estonia,16 February 2003,WUHAN
Panama,Guatemala,16 February 2003,"Estadio Rommel Fernandez, Panama City"
Korea Republic,Japan,16 April 2003,SEOUL
Mexico,Uruguay,15 October 2003,"Soldier Field, Chicago"
Argentina,Bolivia,15 November 2003,"River Plate, Buenos Aires"
Colombia,Venezuela,15 November 2003,"Metropolitano Roberto Melendez, Barranquilla"
Paraguay,Ecuador,15 November 2003,"Los Defensores Del Chaco, Asuncion"
Scotland,Netherlands,15 November 2003,"Hampden Park, Glasgow"
Germany,France,15 November 2003,GELSENKIRCHEN
Egypt,South Africa,15 November 2003,CAIRO
Portugal,Greece,15 November 2003,AVEIRO
Guatemala,Jamaica,15 July 2003,"Orange Bowl, Miami"
Brazil,Honduras,15 July 2003,"Azteca Stadium, Mexico City"
Honduras,El Salvador,15 February 2003,Estadio La Pedregalena COLON
Bahrain,Egypt,15 December 2003,MANAMA BAHRAIN
Iran,Korea DPR,14 November 2003,TEHRAN
Canada,Cuba,14 July 2003,"Gillette Stadium, Foxborough"
Cuba,Jamaica,13 March 2003,HAVANA
Jamaica,Colombia,13 July 2003,"Orange Bowl, Miami"
Mexico,Brazil,13 July 2003,"Azteca Stadium, Mexico City"
Costa Rica,Guatemala,13 February 2003,"Estadio Rommel Fernandez, Panama City"
Uruguay,Cameroon,13 August 2003,TEHRAN IRAN
Iran,Iraq,13 August 2003,TEHRAN
Iran,New Zealand,12 October 2003,"Azadi Stadium, Tehran"
Costa Rica,Canada,12 July 2003,"Gillette Stadium, Foxborough"
USA,El Salvador,12 July 2003,"Gillette Stadium, Foxborough"
Northern Ireland,Finland,12 February 2003,Windsor Park
England,Australia,12 February 2003,Upton Park
Algeria,Belgium,12 February 2003,"Stade du 19 Mai 1956, Annaba"
Tunisia,Sweden,12 February 2003,"Rades Stadium, Tunis"
Mexico,Colombia,12 February 2003,Phoenix ARIZONA
Spain,Germany,12 February 2003,PALMA de MALLORCA
Jamaica,USA,12 February 2003,"National Stadium, Kingston"
Israel,Armenia,12 February 2003,National Stadium TEL AVIV
Wales,Bosnia and Herzegovina,12 February 2003,"Millennium Stadium, Cardiff"
Bulgaria,Hungary,12 February 2003,LARNACA
Romania,Slovakia,12 February 2003,LARNACA
Turkey,Ukraine,12 February 2003,IZMIR
Scotland,Republic of Ireland,12 February 2003,"Hampden Park, Glasgow"
China PR,Brazil,12 February 2003,GUANGZHOU
Italy,Portugal,12 February 2003,GENOA
Ecuador,Estonia,12 February 2003,"Estadio Olimpico Atahualpa, Quito"
Egypt,Denmark,12 February 2003,CAIRO
Netherlands,Argentina,12 February 2003,"ArenA Amsterdam, Amsterdam"
Bahrain,Iraq,12 December 2003,MANAMA BAHRAIN
Jamaica,Brazil,11 October 2003,Walkers Stadium
Armenia,Spain,11 October 2003,"Vazgen Sargsyan, Yerevan"
Tunisia,Morocco,11 October 2003,TUNIS
Iran,New Zealand,11 October 2003,TEHRAN
Finland,Canada,11 October 2003,TAMPERE
Belgium,Estonia,11 October 2003,"Stade Maurice Dufrasne, Liege"
France,Israel,11 October 2003,Stade De France
