id,name
459,Oskar Hrafn Thordvaldsson
460,Mbo Mpenzafor
461,Miklos Feher
462,Khaled Lemmouchia
463,Taras Stepanenko
464,Adrian Mutu
465,Scott Parker
466,Evans Chisulo
467,Maurilio Prini
468,Christopher Harvey
469,Martti Jarvinen
470,G Bonev
471,Fayyadh Mahmoud
472,Tadas Kijanskas
473,Jozef Bomba
474,Given Singuluma
475,Anatoliy Puzach
476,Jose Rodriguez
477,Karoly Mikes
478,Chris Coleman
479,Anatoli Porkhunov
480,KIM Ho-Kon
481,Rene Kenner
482,Carlos Luis Bravo
483,Ahmed Mazrooii
484,Richard Kress
485,Donizetti Sergio Luis Joao Paulo
486,Ion Motroc
487,Amir Turgemanfor
488,Mohamed Omar
489,Harry Bedford
490,Alphonse Tchami
491,Lajos Csordas
492,Alexi Mikhailichenko
493,Stephan Lehmann
494,Amir El Hadidi
495,Marco Rizi
496,Martin Palermo
497,Patrick Kluivertfor
498,Fawzi Moussouni
499,Rolando Aguilar
500,Alexander Lemus
501,Miodrag Belodedici
502,J MacDonald
503,Tamer Abdelhamid
504,Julio Garcia
505,Richard John Ackon
506,Azizzadefor
507,Daniil Danelian
508,Fritz Retter
509,Freddy Grisales
510,Jean-Claud Schindelholz
511,Pekka Kosonen
512,Godfrey Chiatlu
513,TAN Yel-Bin
514,Karel Severin
515,Duncan Ferguson
516,Kiril Metkov
517,Huber II
518,Elfanagili
519,Jebrane Jamal
520,Jonis Lidmans
521,Anton Krasnohorsky
522,Alberto Zapata
523,Juan Santisteban
524,Jordan Henderson
525,Cyrill Nicholls
526,Juha Pasoja
527,Salvador Carmona
528,Nasser Hadjazi
529,Enzo Enrique Gennoni
530,Nigel Shepherd
531,Erick Miranda
532,Bryn Jones
533,Peter Mwanza
534,Rudolf Rockl
535,Hajime Moriyasu
536,Sergei Salnikov
537,Alfonso Enrique Dominguez
538,Matar Alid
539,Javier Villafraz
540,Archia
541,Gus Poyetfor
542,M Luis Loureiro
543,Robertas Tautkus
544,Denes Rosafor
545,Salvador Delgado 'Chicho'
546,Roberto Mozzini
547,Karl Johnsson
548,Juan Pena
549,Roger Carre
550,Santiago Salazar
551,LAI Wing-cheong
552,Pablo Oscar Cavallero
553,Francisco Mancilla
554,Ildefonso Lopez
555,Peter Pumm
556,Tim Cooper
557,David Wagner
558,Uwe Reinders
559,Khader Yousef
560,Constantin Luca
561,Michio Ashikaga
562,WOOK Ko-Jae
563,SEVKI Senlen
564,Emre Gungor
565,Patrice Rio
566,Xiu Quan
567,Trianos Dellas
568,Severino Minelli
569,Francisco Ferreira
570,Julio Delay Valdas
571,Manuel de Sousa Rodrigues
572,MUJDAT Yetkiner II
573,Gerardo Yecerotte
574,G Tzvetkov I
575,Fritz Balogh
576,Roy Saenz
577,Simo Lehmusvirta
578,LEUNG Chi-wing
579,Emil Perska
580,Mirandinha
581,John McCue
582,Nagla
583,Jeff Olver
584,Mihail Ziogas
585,Marlon Rojas
586,Marcial Hurtado
587,Arsen Simonyan
588,Adilson II
589,Rohlicek
590,Rafael De Miquelerena
591,Zoran Vulic
592,Giannis Papadopoulos
593,Dragutin Viric
594,CECI Necdet
595,Idalino Monges
596,Timula Messias
597,Deslius
598,Omar Delgadillo
599,Libero Marchini
600,Antonio Amaral
601,Stanislav Andreev
602,Denis Devaux
603,Lars Brogger
604,Bjuben Kolev
605,Hector Chilombo
606,Moses McNeil
607,Karen Simonian
608,Bela Baubach
609,Umit Ozatfor
610,John Eriksson
611,Shabat El Batal
612,Victor Ottobini
613,Tokutatsu Ojiro
614,Samy El-Sheshiny
615,Angelos Anastasiadis
616,LEE Ki-Bum
617,Oskar Theisen
618,Johann Elmanderfor
619,Astolfo Romero
620,Donald 'Ace' Khuse
621,Juan Anunziata
622,Ludwig Hofmeister
623,Serhat Akinfor
624,Alan MacKenzie
625,Alexander Kovacs
626,Ismael Alberto Quilez
627,Albert Oijermark
628,Wendell Joseph
629,Dirnei Renatofor
630,Robert Hanko
631,Joshua Otto
632,Gary Marocchi
633,Jermaine Huefor
634,Hassan Ashjari
635,Carlos Romero
636,Issa Meer Abdul Nour
637,Matti Vanhanen
638,F Ramsey
639,Guillermo 'Memo' Hernandez
640,Carlos Sulis
641,Grant Needham
642,Hamidou Souleymanou
643,Frank Verlaat
644,Edgaras Jankauskas
645,Hady Khashba
646,Paul McShane
647,J Pais
648,Panayot Panayotov
649,Aleksandar Kocic
