id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9402,59,19,368,,International Friendly,,1,1,1976-09-22
9403,19,59,1246,,International Friendly,19,3,2,1976-10-06
9404,59,19,1465,,International Friendly,59,3,1,1977-08-14
9405,20,59,1072,,UEFA European Championship,,0,0,1974-10-13
9406,59,20,368,,UEFA European Championship,59,6,1,1975-05-11
9407,23,59,40,,International Friendly,23,2,1,1982-01-31
9408,24,59,1307,,FIFA World Cup,24,1,0,1970-06-02
9409,59,26,368,,UEFA European Championship,59,3,0,1970-10-11
9410,26,59,2006,,UEFA European Championship,59,0,4,1971-09-22
9411,26,59,2006,,FIFA World Cup,,1,1,1972-09-20
9412,59,26,368,,FIFA World Cup,59,9,0,1973-10-14
9413,27,59,535,,International Friendly,27,2,0,1970-04-28
9414,59,27,368,,International Friendly,59,2,0,1972-04-08
9415,27,59,910,,International Friendly,27,1,0,1974-03-23
9416,28,59,48,,International Friendly,,1,1,1970-04-08
9417,59,30,368,,Balkan Cup,59,3,1,1974-05-29
9418,30,59,47,,Balkan Cup,,1,1,1975-09-24
9419,59,30,2291,,International Friendly,59,6,1,1977-09-21
9420,34,59,598,,Carlsberg,,1,1,1994-02-10
9421,35,59,1955,,UEFA European Championship,,1,1,1972-04-29
9422,59,35,368,,UEFA European Championship,,2,2,1972-05-14
9423,59,35,2369,,UEFA European Championship,35,1,2,1972-05-17
9424,35,59,277,,Unofficial Hungary,,2,2,1980-01-11
9425,37,59,2372,,International Friendly,,2,2,1976-07-02
9426,37,59,2372,,International Friendly,,0,0,1977-08-05
9427,59,39,328,,*,59,3,1,1973-03-28
9428,39,59,1078,,International Friendly,59,0,1,1974-12-04
9429,59,40,368,,International Friendly,,3,3,1972-06-17
9430,40,59,188,,International Friendly,40,4,2,1976-06-05
9431,59,43,1698,,International Friendly,59,4,1,1974-07-23
9432,49,59,473,,International Friendly,49,2,0,1970-12-02
9433,49,59,1216,,International Friendly,,0,0,1974-06-05
9434,56,59,565,,International Friendly,,1,1,1970-02-09
9435,59,56,1485,,International Friendly,,2,2,1972-04-23
9436,61,59,664,,International Friendly,61,2,0,2002-01-05
9437,59,62,368,,UEFA European Championship,,1,1,1975-06-01
9438,62,59,1193,,UEFA European Championship,,1,1,1975-12-17
9439,59,64,915,,International Friendly,59,3,2,1941-10-14
9440,64,59,86,,International Friendly,64,1,0,1942-08-23
9441,59,64,30,,International Friendly,,2,2,1943-06-13
9442,66,59,787,,UEFA European Championship,66,6,0,1962-11-01
9443,66,59,787,,UEFA European Championship,,1,1,1975-04-17
9444,59,66,368,,UEFA European Championship,,2,2,1975-11-16
9445,59,66,2291,,FIFA World Cup,59,1,0,1977-04-16
9446,66,59,1281,,FIFA World Cup,66,2,0,1977-10-26
9447,66,59,1863,,International Friendly,,1,1,1997-11-19
9448,59,66,889,,International Friendly,,0,0,2016-03-27
9449,67,59,272,,International Friendly,67,7,1,1935-09-01
9450,59,67,2201,,International Friendly,,2,2,1937-06-27
9451,67,59,442,,International Friendly,67,4,1,1955-06-15
9452,59,67,1729,,UEFA European Championship,59,2,0,1982-09-08
9453,68,59,1759,,FIFA World Cup,,2,2,1933-10-29
