id,name,latitude,longitude
415,"Lang Park, Brisbane",-27.4649983,153.009602020717
401,Playa Ancha VALPARAISO,-33.0390699,-71.4004078
880,Brinco de Ouro,-22.90963435,-47.0434678
1087,Spartak SUBOTICA,46.1007432,19.6698199
825,MIAMI,25.7742658,-80.1936588
525,Sultan Qaboos Sports Complex,23.573024,58.3997746
1011,"Robert Diochon, Rouen",49.4104779,1.06982712341846
1901,GYOR,,
112,"CenturyLink Field, Seattle",47.59544435,-122.331651592483
1699,BOCHUM,51.482321,7.2187465
1679,Atocha SAN SEBASTIEN,,
480,Etihad Stadium,53.48315825,-2.20053414773414
551,"Pakhtakor Stadium, Tashkent",41.3155045,69.2603393371698
732,"Longchamps, Brussels",,
1876,Campo de los Hermanos Ghersi,,
2144,Estadio La Corregidora,,
168,Estadio Nemesio Camacho El Campin,4.6454056,-74.0762048721477
1119,Goodwood Showground,-33.9151884,18.5490552
427,Ruimsig Stadium,-26.0717984,27.8666653
900,"Municipale, Bordeaux",44.8439394,-0.543356476657743
1488,1st Hampden,39.3309401,-76.6349685
585,Simmeringer Platz,48.1692608,16.41987
1646,"Adolf Hitler, Stuttgart",48.8932022,9.1924775
1670,do Ameal PORTO,41.1796121,-8.5567281
1342,Feyenoord Stadium ROTTERDAM,,
2005,BRAGA,,
2052,Comunale PALERMO,,
343,"13 July, Mar del Plata",,
2106,"Olympic Stadium, Tokyo",,
191,Municipal MAR DEL PLATA,-38.387717,-60.2833457
1423,BARI,41.1257843,16.8620293
2151,Olimpico de CU MEXICO CITY,,
1106,"Stade Gaston-Petit, Chateauroux",46.80202385,1.72148387328641
1714,DUSSELDORF,,
1807,Nacional Sabana SAN JOSE,,
164,"Estadio Chateau Carreras, Cordoba",-31.3648074,-64.2212529442302
1609,DEN HAAG,52.07494555,4.26968032053645
1875,Estadio Pachencho Romero MARACAIBO,,
1993,"Al Wasl, Dubai",,
824,"9 de Mayo, Machala",-3.2619842,-79.9616536
76,"Stade 11 June, TRIPOLI",,
1721,BEUTHEN,,
965,do cafe LONDRINA,,
771,Giovanni Zini CREMONA,45.1400449,10.0350246543134
274,CORDOBA,37.8845065,-4.7793654
537,Kingsmead,53.2436546,-2.5188348
1495,"Celtic Park, Glasgow",55.849717,-4.2053894372093
1158,MONTEGO BAY,18.4724603,-77.9217356
1207,BUSAN,35.1853168,129.0625899
1121,Tamale Stadium,9.4061075,-0.8606191
697,"Bukit Jalil National Stadium, Kuala Lumpur",3.0547447,101.691244832627
620,"Tivoli Neu Stadion, Innsbruck",47.25587895,11.4113187227
257,Arena Corinthians,-23.54552645,-46.4741902596486
1269,Pedro Marrero,23.1073616,-82.4128517
1980,"Public Stadium, CHANGWONG",,
1447,"Manuel Martinez Valero, Elche",38.26704445,-0.663305046271656
587,"Stade De Colombes, Paris",,
765,Piazza d'Armi TURIN,45.3677759,7.7633338
1605,Carthagene SPAIN,37.6267868,-1.0006183
2014,Albacete,,
224,Cuauhtemoc PUEBLA,19.223056,-97.3383329
239,Jose Amalfitani BUENOS AIRES,-34.6354406,-58.5207489308229
2012,Stadion Karadorde,,
731,Neuvo ELCHE,,
482,Cong Hua SAIGON,47.0451276,-122.9031498
1389,Robertson Stadium,36.4733265,-86.6625169
353,PARNU,58.3800572,24.5200466
1837,"Stade Sylvio Cator, Port-au-Prince",,
97,"River Plate, Buenos Aires",,
351,"Reales Tamarindos, Portoviejo",-1.0485139,-80.4538083760925
1667,Ulsan Munsu Stadium,35.53526295,129.259494850927
2114,NIGATA,,
1629,KUOPIO,62.8924601,27.6781839
213,Hong Kong Stadium,22.27314255,114.188652309264
1287,Dozsa Ujpest BUDAPEST,,
847,San Diego Stadium,32.7818969,-117.1144678
16,Stade d'Angondjé,0.5221699,9.3930774457708
1388,Wakefield High School,35.94729485,-78.571879367892
268,Metropolitano - Bariquisimeto,,
1167,Guillermo Canedo (Azteca),,
1275,"Letna Sparta, Praha",,
355,Republican YEREVAN,40.17202345,44.5255405804617
1515,"The Den, London",51.5073219,-0.1276473
1048,Ivailo TURNOVO,43.0814476,25.6335389
819,Cicero Pompeu de Toledo,-23.60014865,-46.7200959093223
1490,1st Cathkin,55.8048446,-4.1933912
502,Domain AUCKLAND,-36.85904015,174.775985440705
539,Hartley Vale,-33.5316666,150.2344444
1470,Nepstadion,,
723,"Slavia Stadium, Sofia",42.6751418,23.2719871221801
1883,SIOFOK,,
324,NRG Stadium,29.6848488,-95.4108308532699
963,Lansdowne Road,53.334398,-6.2256164
1127,ARMENIA COLOMBIA,4.4922673,-75.7396252904384
483,"National Stadium, Seoul",37.6367667,127.1040531
