home_rating,away_rating,win,draw,loss
67,67,0.0,0.26732673267326734,0.7326732673267327
77,67,0.3357664233576642,0.24817518248175183,0.41605839416058393
74,71,0.4666666666666667,0.2857142857142857,0.24761904761904763
57,63,0.5,0.5,0.0
76,70,0.3620689655172414,0.2413793103448276,0.39655172413793105
71,57,0.5,0.5,0.0
68,77,0.3442622950819672,0.21311475409836064,0.4426229508196721
66,77,0.35294117647058826,0.23529411764705882,0.4117647058823529
72,72,0.0,0.32894736842105265,0.6710526315789473
64,68,0.36893203883495146,0.3106796116504854,0.32038834951456313
72,75,0.36538461538461536,0.21153846153846154,0.4230769230769231
73,71,0.40229885057471265,0.27586206896551724,0.3218390804597701
57,74,0.18518518518518517,0.37037037037037035,0.4444444444444444
65,66,0.3404255319148936,0.2553191489361702,0.40425531914893614
69,68,0.3626373626373626,0.31868131868131866,0.31868131868131866
75,68,0.4647887323943662,0.18309859154929578,0.352112676056338
72,66,0.4084507042253521,0.2112676056338028,0.38028169014084506
63,75,0.4090909090909091,0.13636363636363635,0.45454545454545453
65,72,0.2857142857142857,0.21428571428571427,0.5
67,68,0.410828025477707,0.22611464968152867,0.3630573248407643
75,73,0.3717948717948718,0.2948717948717949,0.3333333333333333
77,70,0.4084507042253521,0.18309859154929578,0.4084507042253521
67,63,0.44021739130434784,0.19021739130434784,0.3695652173913043
57,75,0.18181818181818182,0.45454545454545453,0.36363636363636365
65,68,0.32,0.32,0.36
73,69,0.4444444444444444,0.20634920634920634,0.3492063492063492
57,66,0.3157894736842105,0.42105263157894735,0.2631578947368421
68,66,0.41904761904761906,0.17142857142857143,0.4095238095238095
75,76,0.3655913978494624,0.1935483870967742,0.44086021505376344
70,69,0.42272727272727273,0.2681818181818182,0.3090909090909091
64,65,0.46153846153846156,0.23076923076923078,0.3076923076923077
69,74,0.3183673469387755,0.22857142857142856,0.4530612244897959
70,72,0.3103448275862069,0.29310344827586204,0.39655172413793105
63,73,0.38461538461538464,0.15384615384615385,0.46153846153846156
73,66,0.4230769230769231,0.19230769230769232,0.38461538461538464
57,69,0.23333333333333334,0.3333333333333333,0.43333333333333335
66,75,0.3409090909090909,0.22727272727272727,0.4318181818181818
75,67,0.45121951219512196,0.25609756097560976,0.2926829268292683
73,57,0.6,0.0,0.4
71,68,0.09523809523809523,0.38095238095238093,0.5238095238095238
64,70,0.422680412371134,0.21649484536082475,0.36082474226804123
76,63,0.7142857142857143,0.14285714285714285,0.14285714285714285
77,64,0.3670886075949367,0.3037974683544304,0.3291139240506329
77,73,0.4,0.17777777777777778,0.4222222222222222
72,68,0.3939393939393939,0.1919191919191919,0.41414141414141414
69,66,0.4864864864864865,0.21621621621621623,0.2972972972972973
67,74,0.34210526315789475,0.2593984962406015,0.39849624060150374
76,72,0.5147058823529411,0.20588235294117646,0.27941176470588236
